Goal ID,X Position,Y Position,Achieved
0,1147.0151,697.8186,False
5,788.6467,926.484,False
8,311.8197,924.9359,False
9,380.08237,866.9834,False
7,540.93713,888.18933,False
1,1024.7869,837.5955,False
10,641.5094,688.98987,False
2,844.9547,659.3363,False
3,951.50854,555.44855,False
6,421.25925,527.90857,False
4,669.4331,527.1771,False
